car_type,dev_id,time,cum_mileage,kWh_per_km,avg_temp,avg_speed
EV6,M2210703644,2021-11-19 08:52:51,3459.0,0.22,10.43,19.73
EV6,M2210703644,2021-11-22 08:37:10,3475.0,0.22,11.7,26.28
EV6,M2210703644,2021-11-23 08:38:35,3500.0,0.31,4.5,24.81
EV6,M2210703644,2021-11-24 08:48:59,3515.0,0.25,6.77,19.3
EV6,M2210703644,2021-11-26 17:17:27,3701.0,0.2397,18.4,51.93
EV6,M2210703644,2021-11-28 15:29:41,3847.0,0.1923,11.2,41.77
EV6,M2210703644,2021-11-28 19:57:47,3878.0,0.2615,11.45,52.85
EV6,M2210703644,2021-11-29 08:53:49,3890.0,0.2833,11.34,14.99
EV6,M2210703644,2021-11-29 20:30:57,3906.0,0.2636,16.36,20.3
EV6,M2210703644,2021-11-30 09:47:50,3922.0,0.2687,13.25,13.74
EV6,M2210703644,2021-11-30 19:26:37,3937.0,0.2267,13.51,29.17
EV6,M2210703644,2021-12-01 09:55:28,3958.0,0.3563,9.99,13.81
EV6,M2210703644,2021-12-01 19:40:18,3969.0,0.2727,11.91,16.99
EV6,M2210703644,2021-12-02 09:23:38,4027.0,0.2053,9.9,36.69
EV6,M2210703644,2021-12-02 16:28:27,4072.0,0.2044,9.57,40.47
EV6,M2210703644,2021-12-02 19:46:08,4084.0,0.275,9.74,17.13
EV6,M2210703644,2021-12-03 09:32:34,4100.0,0.2938,9.25,14.01
EV6,M2210703644,2021-12-03 20:35:32,4115.0,0.2867,10.84,24.19
EV6,M2210703644,2021-12-04 11:42:44,4141.0,0.2462,10.34,32.11
EV6,M2210703644,2021-12-04 20:46:12,4167.0,0.2269,16.04,56.69
EV6,M2210703644,2021-12-05 10:03:25,4193.0,0.2077,11.43,55.68
EV6,M2210703644,2021-12-05 17:24:04,4219.0,0.25,11.78,45.2
EV6,M2210703644,2021-12-06 08:40:26,4246.0,0.2074,8.92,29.71
EV6,M2210703644,2021-12-06 17:23:03,4272.0,0.2346,9.04,28.35
